id;submitdate;lastpage;startlanguage;seed;SAPSUS[SUS01];SAPSUS[SUS02];SAPSUS[SUS03];SAPSUS[SUS04];SAPSUS[SUS05];SAPSUS[SUS06];SAPSUS[SUS07];SAPSUS[SUS08];SAPSUS[SUS09];SAPSUS[SUS10];SAPUEQ[UEQ01];SAPUEQ[UEQ02];SAPUEQ[UEQ03];SAPUEQ[UEQ04];SAPUEQ[UEQ05];SAPUEQ[UEQ06];SAPUEQ[UEQ07];SAPUEQ[UEQ08];OracleSUS[SUS01];OracleSUS[SUS02];OracleSUS[SUS03];OracleSUS[SUS04];OracleSUS[SUS05];OracleSUS[SUS06];OracleSUS[SUS07];OracleSUS[SUS08];OracleSUS[SUS09];OracleSUS[SUS10];OracleUEQ[UEQ01];OracleUEQ[UEQ02];OracleUEQ[UEQ03];OracleUEQ[UEQ04];OracleUEQ[UEQ05];OracleUEQ[UEQ06];OracleUEQ[UEQ07];OracleUEQ[UEQ08];MicrosoftSUS[SUS01];MicrosoftSUS[SUS02];MicrosoftSUS[SUS03];MicrosoftSUS[SUS04];MicrosoftSUS[SUS05];MicrosoftSUS[SUS06];MicrosoftSUS[SUS07];MicrosoftSUS[SUS08];MicrosoftSUS[SUS09];MicrosoftSUS[SUS10];MicrosoftUEQ[UEQ01];MicrosoftUEQ[UEQ02];MicrosoftUEQ[UEQ03];MicrosoftUEQ[UEQ04];MicrosoftUEQ[UEQ05];MicrosoftUEQ[UEQ06];MicrosoftUEQ[UEQ07];MicrosoftUEQ[UEQ08];SalesforceSUS[SUS01];SalesforceSUS[SUS02];SalesforceSUS[SUS03];SalesforceSUS[SUS04];SalesforceSUS[SUS05];SalesforceSUS[SUS06];SalesforceSUS[SUS07];SalesforceSUS[SUS08];SalesforceSUS[SUS09];SalesforceSUS[SUS10];SalesforceUEQ[UEQ01];SalesforceUEQ[UEQ02];SalesforceUEQ[UEQ03];SalesforceUEQ[UEQ04];SalesforceUEQ[UEQ05];SalesforceUEQ[UEQ06];SalesforceUEQ[UEQ07];SalesforceUEQ[UEQ08];Age;Gender;Studies;Studies[other];Semester;ESFamiliarity[SAP];ESFamiliarity[Oracle];ESFamiliarity[Microsoft];ESFamiliarity[Salesforce];UsedOS[MacOS];UsedOS[Win];UsedOS[Linux];UsedOS[iOS];UsedOS[Android];UsedOS[Huawei];UsedOS[other]
37;01.01.80 00:00;1;de;1237464475;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);2;7;7;6;7;6;5;6;6;6;1 (ich stimme garnicht zu);3;2;4;2;5;2;5;2;5;4;6;6;3;2;2;2;4;6;3;2;5;4;4;5;5;2;3;3;4;4;3;5;4;4;5;1 (ich stimme garnicht zu);5;2;5;2;6;2;6;2;6;6;6;6;7;6;5;5;20;Männlich;Angewandte Informatik/ Systems Engineering;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
39;01.01.80 00:00;2;de;1083913342;3;2;5;1 (ich stimme garnicht zu);3;1 (ich stimme garnicht zu);3;3;4;5;4;4;3;3;1;2;1;1;5;4;3;1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);3;5;4;6;5;6;4;2;5;6;1;3;6;1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);5;1;6;6;5;6;5;4;5;1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);3;7;7;7;7;3;4;3;4;28;Männlich;Angewandte Informatik/ Systems Engineering;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
46;01.01.80 00:00;3;de;1138849075;4;4;4;5;5;4;4;5;3;4;3;2;4;5;3;5;4;3;3;3;4;4;3;4;3;5;4;4;4;4;3;5;5;3;5;2;5;4;4;3;3;3;3;4;3;4;5;3;4;3;4;4;2;4;4;4;5;4;5;3;4;5;5;4;4;3;4;3;4;3;5;3;19;Männlich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Nein;Nein;Nein;Ja;Nein;
63;01.01.80 00:00;4;de;1493310075;6;2;5;3;6;2;4;3;5;5;6;5;6;6;4;5;5;5;4;5;3;4;4;3;3;5;5;5;5;4;4;3;3;3;4;3;5;1 (ich stimme garnicht zu);3;2;5;2;4;3;5;3;6;6;6;6;4;5;2;5;2;2;3;5;3;5;4;6;4;5;5;5;5;5;4;4;4;4;28;Männlich;Angewandte Informatik/ Systems Engineering;;18;2;1 (die GUI is mir nicht bekannt);2;1 (die GUI is mir nicht bekannt);Ja;Ja;Ja;Ja;Nein;Nein;
68;01.01.80 00:00;5;de;849973758;5;3;4;5;3;3;4;3;4;5;4;4;5;5;4;5;4;5;4;4;4;5;3;3;3;4;4;5;5;4;4;5;4;3;4;4;5;3;3;3;4;3;4;3;4;3;5;5;5;5;4;4;4;4;3;2;5;3;4;3;5;2;5;3;4;4;2;4;3;4;4;3;99;Männlich;Wirtschaftsinformatik;;6;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Nein;Ja;Nein;
82;01.01.80 00:00;6;de;548893081;4;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;2;5;1 (ich stimme garnicht zu);5;3;6;1;2;1;3;2;2;3;2;6;2;6;3;6;3;6;3;5;5;6;6;5;5;2;2;2;2;6;2;6;2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;2;5;4;6;4;6;6;5;6;5;6;5;5;5;3;5;3;5;2;4;3;4;6;4;6;5;6;5;5;21;Männlich;Volkswirtschaftslehre;;6;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Nein;Nein;
85;01.01.80 00:00;7;de;832551619;4;6;2;6;3;3;3;6;3;5;3;2;3;3;4;3;3;3;4;3;2;5;3;5;4;5;3;6;4;2;3;2;4;5;3;3;4;6;2;6;4;5;4;6;3;5;5;2;3;4;4;5;3;3;6;2;5;4;5;2;6;4;6;3;5;2;5;6;5;6;4;5;18;Männlich;Angewandte Informatik/ Systems Engineering;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Nein;Nein;
86;01.01.80 00:00;8;de;829666245;4;4;3;4;4;4;2;4;3;4;5;3;4;3;2;3;2;3;4;5;4;3;4;5;3;4;3;5;5;3;4;2;2;4;3;3;5;3;4;3;3;3;4;3;4;3;5;4;5;5;5;5;5;5;4;4;5;2;3;3;5;2;4;3;5;5;4;5;5;6;5;5;24;Männlich;Wirtschaftsinformatik;;3;3;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);2;Ja;Ja;Nein;Ja;Nein;Nein;
88;01.01.80 00:00;9;de;17778886;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;3;4;4;3;5;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;30;Männlich;Angewandte Informatik/ Systems Engineering;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Ja;Ja;Nein;
89;01.01.80 00:00;10;de;1579962156;5;1 (ich stimme garnicht zu);3;1 (ich stimme garnicht zu);6;4;7 (ich stimme voll und ganz zu);4;5;6;7;1;7;2;3;4;5;2;2;5;4;1 (ich stimme garnicht zu);6;2;6;3;6;3;2;2;4;3;1;1;1;2;3;2;4;1 (ich stimme garnicht zu);6;3;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;5;6;2;5;3;3;5;5;2;5;3;5;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);5;6;6;6;6;5;4;5;1;18;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Nein;Ja;Nein;
